model,ticker,horizon,mean_forecast,mean_ci90_lower,mean_ci90_upper,mean_ci90_width,mean_ci95_lower,mean_ci95_upper,mean_ci95_width
VARX,EIDPARRY.NS,12,0.04017,-0.12716,0.20749,0.33465,-0.15921,0.23955,0.39876
VARX,GREENLAM.NS,1,0.02013,-0.12397,0.16423,0.28819,-0.15157,0.19183,0.3434
VARX,GREENLAM.NS,3,0.02096,-0.12574,0.16766,0.2934,-0.15384,0.19576,0.34961
VARX,GREENLAM.NS,6,0.01885,-0.12694,0.16464,0.29159,-0.15487,0.19257,0.34745
VARX,GREENLAM.NS,12,0.00424,-0.13835,0.14682,0.28517,-0.16566,0.17414,0.3398
VARX,HDFCBANK.NS,1,-0.01795,-0.10058,0.06467,0.16525,-0.11641,0.0805,0.19691
VARX,HDFCBANK.NS,3,-0.01792,-0.1039,0.06805,0.17195,-0.12037,0.08452,0.20489
VARX,HDFCBANK.NS,6,-0.0201,-0.1065,0.06631,0.17281,-0.12305,0.08286,0.20591
VARX,HDFCBANK.NS,12,-0.02022,-0.10787,0.06743,0.1753,-0.12466,0.08423,0.20888
VARX,INDIGO.NS,1,0.01018,-0.11261,0.13297,0.24558,-0.13613,0.15649,0.29263
VARX,INDIGO.NS,3,0.01595,-0.11366,0.14557,0.25923,-0.1385,0.1704,0.30889
VARX,INDIGO.NS,6,0.01645,-0.11316,0.14606,0.25922,-0.13799,0.17089,0.30887
VARX,INDIGO.NS,12,0.02002,-0.11112,0.15116,0.26228,-0.13624,0.17628,0.31253
VARX,JSWENERGY.NS,1,-0.00531,-0.14092,0.1303,0.27122,-0.1669,0.15628,0.32318
VARX,JSWENERGY.NS,3,-0.00873,-0.1463,0.12883,0.27513,-0.17265,0.15518,0.32783
VARX,JSWENERGY.NS,6,-0.01051,-0.14866,0.12764,0.2763,-0.17513,0.1541,0.32923
VARX,JSWENERGY.NS,12,-0.00938,-0.14838,0.12963,0.278,-0.17501,0.15625,0.33126
VARX,LTTS.NS,1,-0.00819,-0.15246,0.13608,0.28854,-0.1801,0.16371,0.34381
VARX,LTTS.NS,3,-0.0223,-0.1793,0.1347,0.314,-0.20937,0.16478,0.37415
VARX,LTTS.NS,6,-0.00811,-0.17214,0.15593,0.32806,-0.20356,0.18735,0.39091
VARX,LTTS.NS,12,0.00353,-0.16592,0.17299,0.33891,-0.19839,0.20545,0.40384
VARX,MARATHON.NS,1,-0.05212,-0.29296,0.18872,0.48168,-0.3391,0.23486,0.57396
VARX,MARATHON.NS,3,-0.05625,-0.30235,0.18986,0.49221,-0.3495,0.23701,0.58651
VARX,MARATHON.NS,6,-0.06091,-0.30918,0.18736,0.49654,-0.35675,0.23492,0.59167
VARX,MARATHON.NS,12,-0.08936,-0.34161,0.16289,0.50449,-0.38993,0.21121,0.60114
VARX,SUDARSCHEM.NS,1,0.02688,-0.10006,0.15383,0.25389,-0.12438,0.17815,0.30253
VARX,SUDARSCHEM.NS,3,0.02592,-0.10778,0.15962,0.26741,-0.1334,0.18524,0.31863
VARX,SUDARSCHEM.NS,6,0.03916,-0.09623,0.17454,0.27077,-0.12216,0.20048,0.32264
VARX,SUDARSCHEM.NS,12,0.0515,-0.08463,0.18763,0.27226,-0.11071,0.21371,0.32442
VARX,SURYAROSNI.NS,1,0.02108,-0.21111,0.25327,0.46439,-0.25559,0.29776,0.55335
VARX,SURYAROSNI.NS,3,0.03015,-0.20794,0.26824,0.47618,-0.25355,0.31385,0.5674
VARX,SURYAROSNI.NS,6,0.0495,-0.19511,0.29412,0.48922,-0.24197,0.34098,0.58295
VARX,SURYAROSNI.NS,12,0.0733,-0.17482,0.32143,0.49624,-0.22235,0.36896,0.59131
