model,ticker,horizon,order_p,order_q,n_test,AIC,BIC,RMSE,MAE,ME,MAPE,SMAPE,DA,group
VARX,APOLLOHOSP.NS,12,1,,18,-23.26,-19.39,0.077877,0.064282,0.035603,156.109003,124.744498,0.611111,VARX_group_3
VARX,EIDPARRY.NS,1,1,,29,-23.26,-19.39,0.11307,0.083641,0.030459,142.393964,111.133626,0.655172,VARX_group_3
VARX,EIDPARRY.NS,3,1,,27,-23.26,-19.39,0.105993,0.080579,0.023565,193.363142,112.253148,0.666667,VARX_group_3
VARX,EIDPARRY.NS,6,1,,24,-23.26,-19.39,0.136168,0.11609,0.048934,218.796604,154.915983,0.458333,VARX_group_3
VARX,EIDPARRY.NS,12,1,,18,-23.26,-19.39,0.13849,0.117449,0.069965,153.028793,150.072931,0.444444,VARX_group_3
VARX,AEGISLOG.NS,1,1,,29,-23.26,-19.39,0.119548,0.099031,0.034412,205.098122,123.697596,0.586207,VARX_group_3
VARX,AEGISLOG.NS,3,1,,27,-23.26,-19.39,0.164073,0.130326,0.035896,268.696188,143.952895,0.481481,VARX_group_3
VARX,AEGISLOG.NS,6,1,,24,-23.26,-19.39,0.181375,0.144817,0.071249,280.752138,163.41084,0.333333,VARX_group_3
VARX,AEGISLOG.NS,12,1,,18,-23.26,-19.39,0.179267,0.157656,0.076279,353.884041,169.646113,0.388889,VARX_group_3
VARX,BSE.NS,1,1,,29,-23.26,-19.39,0.145374,0.116573,0.101002,409.310141,103.900402,0.655172,VARX_group_3
VARX,BSE.NS,3,1,,27,-23.26,-19.39,0.195235,0.155852,0.103341,365.137418,133.2102,0.481481,VARX_group_3
VARX,BSE.NS,6,1,,24,-23.26,-19.39,0.205496,0.15507,0.099401,564.027115,124.325251,0.541667,VARX_group_3
VARX,BSE.NS,12,1,,18,-23.26,-19.39,0.249905,0.208647,0.132285,580.213982,145.709041,0.444444,VARX_group_3
VARX,CAMLINFINE.NS,1,1,,29,-23.26,-19.39,0.204983,0.16862,0.093004,344.423275,145.374162,0.517241,VARX_group_3
VARX,CAMLINFINE.NS,3,1,,27,-23.26,-19.39,0.190378,0.152702,0.075027,639.048328,147.834554,0.407407,VARX_group_3
VARX,CAMLINFINE.NS,6,1,,24,-23.26,-19.39,0.241971,0.191026,0.090004,626.118675,152.0176,0.458333,VARX_group_3
VARX,CAMLINFINE.NS,12,1,,18,-23.26,-19.39,0.237822,0.156448,0.110092,361.731495,133.738477,0.611111,VARX_group_3
VARX,JSWENERGY.NS,1,1,,29,-9.58,-8.45,0.069505,0.058334,0.009955,159.267808,130.949699,0.551724,VARX_group_4
VARX,JSWENERGY.NS,3,1,,27,-9.58,-8.45,0.128481,0.10426,0.015734,225.106413,160.184274,0.444444,VARX_group_4
VARX,JSWENERGY.NS,6,1,,24,-9.58,-8.45,0.120072,0.094577,0.023094,190.109485,162.651193,0.375,VARX_group_4
VARX,JSWENERGY.NS,12,1,,18,-9.58,-8.45,0.130661,0.10552,0.023653,228.130456,162.448181,0.333333,VARX_group_4
VARX,GREENLAM.NS,1,1,,29,-9.58,-8.45,0.119149,0.101557,0.036691,549.565493,151.487514,0.551724,VARX_group_4
VARX,GREENLAM.NS,3,1,,27,-9.58,-8.45,0.122712,0.10358,0.03436,554.009173,159.289806,0.407407,VARX_group_4
VARX,GREENLAM.NS,6,1,,24,-9.58,-8.45,0.127712,0.111364,0.039987,383.999044,168.301743,0.458333,VARX_group_4
VARX,GREENLAM.NS,12,1,,18,-9.58,-8.45,0.152718,0.116385,0.039489,934.139331,157.037288,0.388889,VARX_group_4
VARX,BANDHANBNK.NS,1,1,,29,-9.33,-8.21,0.089811,0.075329,-0.018856,2310738877.71301,121.591601,0.655172,VARX_group_5
VARX,BANDHANBNK.NS,3,1,,27,-9.33,-8.21,0.158066,0.108451,-0.0196,575285147.061313,136.448543,0.518519,VARX_group_5
VARX,BANDHANBNK.NS,6,1,,24,-9.33,-8.21,0.142266,0.100378,-0.033725,178.08179,139.515689,0.458333,VARX_group_5
VARX,BANDHANBNK.NS,12,1,,18,-9.33,-8.21,0.146356,0.110514,-0.047334,391.9174,148.059902,0.5,VARX_group_5
VARX,ASTERDM.NS,1,1,,29,-9.33,-8.21,0.070523,0.055306,-0.017068,118.760652,111.041025,0.827586,VARX_group_5
VARX,ASTERDM.NS,3,1,,27,-9.33,-8.21,0.092943,0.074516,-0.019303,174.223054,143.956507,0.592593,VARX_group_5
VARX,ASTERDM.NS,6,1,,24,-9.33,-8.21,0.094371,0.081045,-0.017473,428.454302,159.053101,0.541667,VARX_group_5
VARX,ASTERDM.NS,12,1,,18,-9.33,-8.21,0.072907,0.052393,-0.002289,93.670569,109.584888,0.833333,VARX_group_5
